step,iStep,iterAll,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,1,1,0.0000000000e+00,7.2846334189e+05,4.9322859724e+05,6.4021326900e+05,7.3560831485e+05,2.3862852918e+06,7.9402060631e+07,2.0000000000e+30,6.3466396132e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.8473619050e+02,2.4240954848e+01,7.6476505420e+00,2.1879700270e+00,4.4654075340e+00,5.4960000000e-06,0.0000000000e+00,1.1716440970e+00,0.0000000000e+00,-5.4263026816e+02,-5.0372394608e+05,8.1730325220e+04,2.7490641770e-18,3.1021471431e+04,5.4924830412e-01,2.2728428031e-02,2.7500000000e+00
1,1,2,2,0.0000000000e+00,3.2285686580e+05,2.4615678032e+05,1.6734540293e+05,1.9032069178e+05,1.0259442737e+06,6.8940313513e+07,2.0000000000e+30,6.3497055721e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.9266141587e+02,7.8481366940e+00,2.8540392300e-01,2.2508885860e+00,2.4560690390e+00,5.7160000040e-06,0.0000000000e+00,1.1648285960e+00,0.0000000000e+00,-5.1700653988e+02,-5.0366442267e+05,8.1747805409e+04,3.3688104961e-18,7.3177526867e+03,5.4935746932e-01,2.2906211771e-02,2.7500000000e+00
1,1,3,3,0.0000000000e+00,2.6271354752e+05,1.4639790696e+05,9.8040183983e+04,1.2646236368e+05,8.0500249455e+05,6.8015391718e+07,2.0000000000e+30,6.3496174459e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.0045210976e+02,7.7898871380e+00,2.8357735900e-01,2.2339584120e+00,2.4017410240e+00,3.5569999852e-06,0.0000000000e+00,1.1662866620e+00,0.0000000000e+00,-5.0646739900e+02,-5.0363569351e+05,8.1771504068e+04,5.5264661728e-18,1.6804729219e+04,5.4951327856e-01,2.2984662276e-02,2.7500000000e+00
1,1,4,4,0.0000000000e+00,2.4873771220e+05,1.3447288712e+05,7.8986677818e+04,9.9030210890e+04,7.1289062679e+05,6.8355456487e+07,2.0000000000e+30,6.3527982064e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.0827167075e+02,7.8187281960e+00,2.8512663800e-01,2.2050024560e+00,2.4180412760e+00,5.0950000059e-06,0.0000000000e+00,1.1662753820e+00,0.0000000000e+00,-4.8693779014e+02,-5.0359346227e+05,8.1804622929e+04,3.9077759111e-18,2.1168595871e+04,5.4972947258e-01,2.3126551564e-02,2.7500000000e+00
1,1,5,5,0.0000000000e+00,2.5404168420e+05,1.2214201560e+05,6.7721431446e+04,8.6299363303e+04,6.2363586478e+05,6.8303129552e+07,2.0000000000e+30,6.3554443315e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.1623995433e+02,7.9674369820e+00,2.8350263200e-01,2.2571498050e+00,2.5822952500e+00,3.1270000136e-06,0.0000000000e+00,1.1635129740e+00,0.0000000000e+00,-4.6281551470e+02,-5.0354972811e+05,8.1847148116e+04,4.4219055133e-18,2.1074720364e+04,5.5000737729e-01,2.3302330248e-02,2.7500000000e+00
1,1,6,6,0.0000000000e+00,2.5751619149e+05,1.1257722759e+05,5.9945241021e+04,7.8715888244e+04,5.5078280691e+05,6.8216405622e+07,2.0000000000e+30,6.3585932362e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.2415715434e+02,7.9163165450e+00,2.8305512600e-01,2.2021192550e+00,2.5147421070e+00,3.7650000309e-06,0.0000000000e+00,1.1677116080e+00,0.0000000000e+00,-4.4367748299e+02,-5.0349403879e+05,8.1912869239e+04,6.1346474500e-18,2.1595699219e+04,5.5044272321e-01,2.3452109429e-02,2.7500000000e+00
1,1,7,7,0.0000000000e+00,2.5423473233e+05,1.0662822723e+05,5.4534189546e+04,7.3186007560e+04,4.9294930530e+05,6.8214537541e+07,2.0000000000e+30,6.3607825999e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.3200182867e+02,7.8438161350e+00,2.8494205500e-01,2.2580295630e+00,2.4383545590e+00,3.4939999978e-06,0.0000000000e+00,1.1793949040e+00,0.0000000000e+00,-4.3114506367e+02,-5.0341568819e+05,8.1974037934e+04,5.3159400510e-18,2.1833633660e+04,5.5084961701e-01,2.3556042347e-02,2.7500000000e+00
1,1,8,8,0.0000000000e+00,2.4673170927e+05,1.0145928064e+05,5.0423741983e+04,6.8802160715e+04,4.4821309858e+05,6.8353221735e+07,2.0000000000e+30,6.3621386991e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.3989025029e+02,7.8875592240e+00,2.8725630400e-01,2.1861248470e+00,2.4887028940e+00,4.0710000064e-06,0.0000000000e+00,1.1702715230e+00,0.0000000000e+00,-4.1359354708e+02,-5.0336524514e+05,8.2034169673e+04,7.7257803354e-18,2.1967358727e+04,5.5124792480e-01,2.3693359487e-02,2.7500000000e+00
1,1,9,9,0.0000000000e+00,2.3676437014e+05,9.6599095187e+04,4.7261102933e+04,6.5461298294e+04,4.1672197056e+05,6.8603257748e+07,2.0000000000e+30,6.3625366176e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.4765143092e+02,7.7603006450e+00,2.8266364100e-01,2.2267796380e+00,2.3368397720e+00,4.9150000336e-06,0.0000000000e+00,1.1656443740e+00,0.0000000000e+00,-3.8566367389e+02,-5.0335653853e+05,8.2083321596e+04,6.8529930503e-18,2.2342018828e+04,5.5156911995e-01,2.3896856434e-02,2.7500000000e+00
1,1,10,10,0.0000000000e+00,2.2511479696e+05,9.2390032541e+04,4.4844907462e+04,6.2764330753e+04,4.0319824692e+05,6.8984195087e+07,2.0000000000e+30,6.3623598985e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.5557640596e+02,7.9240473900e+00,2.8379746400e-01,2.2225342780e+00,2.5314365880e+00,4.3259999813e-06,0.0000000000e+00,1.1650174580e+00,0.0000000000e+00,-3.5054654195e+02,-5.0338081362e+05,8.2124677022e+04,6.1844827812e-18,2.2385587499e+04,5.5183561812e-01,2.4146122284e-02,2.7500000000e+00
1,1,11,11,0.0000000000e+00,2.1195246067e+05,8.9019726371e+04,4.3180093759e+04,6.0602618784e+04,4.1369568089e+05,6.9459159937e+07,2.0000000000e+30,6.3618739349e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.6387065427e+02,8.2933978400e+00,2.8312457800e-01,2.6229520440e+00,2.9055844000e+00,3.2289999581e-06,0.0000000000e+00,1.1655023490e+00,0.0000000000e+00,-3.1118815693e+02,-5.0342786244e+05,8.2165239197e+04,6.8284453643e-18,2.2736460601e+04,5.5209541850e-01,2.4423625355e-02,2.7500000000e+00
1,1,12,12,0.0000000000e+00,1.9741550400e+05,8.6472392728e+04,4.2155979208e+04,5.8920380750e+04,4.4554263562e+05,7.0009604081e+07,2.0000000000e+30,6.3615132256e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.7231889216e+02,8.4473953370e+00,2.8829296300e-01,2.2528676160e+00,3.0507393480e+00,3.8359999621e-06,0.0000000000e+00,1.1685174550e+00,0.0000000000e+00,-2.6896803367e+02,-5.0349033115e+05,8.2213737752e+04,4.7953635709e-18,2.2778441045e+04,5.5240761288e-01,2.4722914915e-02,2.7500000000e+00
1,1,13,13,0.0000000000e+00,1.8175243925e+05,8.4678240134e+04,4.1576357195e+04,5.7692846792e+04,4.8788028608e+05,7.0557881699e+07,2.0000000000e+30,6.3617546289e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.8025209086e+02,7.9323216770e+00,2.8044127100e-01,2.2029081440e+00,2.5451590360e+00,3.5789999515e-06,0.0000000000e+00,1.1634030810e+00,0.0000000000e+00,-2.2522891651e+02,-5.0355872925e+05,8.2266140956e+04,8.2569103145e-18,2.3078533978e+04,5.5274554895e-01,2.5033669249e-02,2.7500000000e+00
1,1,14,14,0.0000000000e+00,1.6519298162e+05,8.3837096029e+04,4.1261686565e+04,5.6798880156e+04,5.3876412726e+05,7.1055926457e+07,2.0000000000e+30,6.3630964188e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.8817069756e+02,7.9177220210e+00,2.8773650000e-01,2.2540186210e+00,2.5204209750e+00,3.1339999964e-06,0.0000000000e+00,1.1642574970e+00,0.0000000000e+00,-1.8139772619e+02,-5.0362358721e+05,8.2319682793e+04,8.5680314351e-18,2.3136424114e+04,5.5309110477e-01,2.5345409569e-02,2.7500000000e+00
1,1,15,15,0.0000000000e+00,1.4804215858e+05,8.4037637533e+04,4.1150599513e+04,5.6193536157e+04,5.8896257158e+05,7.1463785366e+07,2.0000000000e+30,6.3658515298e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.9595230087e+02,7.7807086990e+00,2.8424352800e-01,2.2011105380e+00,2.3443977240e+00,4.9450000006e-06,0.0000000000e+00,1.2037268910e+00,0.0000000000e+00,-1.3909684404e+02,-5.0367872169e+05,8.2369886158e+04,8.6915843505e-18,2.3394777518e+04,5.5341472619e-01,2.5645791809e-02,2.7500000000e+00
1,1,16,16,0.0000000000e+00,1.3124494965e+05,8.4886858561e+04,4.1209168572e+04,5.5766840041e+04,6.3581979552e+05,7.1796954739e+07,2.0000000000e+30,6.3700649525e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.0384653584e+02,7.8933778130e+00,2.8376573200e-01,2.2096800140e+00,2.4787920140e+00,3.8989999780e-06,0.0000000000e+00,1.1735328020e+00,0.0000000000e+00,-9.9985068061e+01,-5.0372139640e+05,8.2414587314e+04,4.4190277156e-18,2.3468833682e+04,5.5370241228e-01,2.5922973758e-02,2.7500000000e+00
1,1,17,17,0.0000000000e+00,1.1558249167e+05,8.6108542121e+04,4.1352223519e+04,5.5453371090e+04,6.7867661588e+05,7.2072277335e+07,2.0000000000e+30,6.3755186446e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.1160240189e+02,7.7549733180e+00,2.8554592500e-01,2.2094295710e+00,2.3550496700e+00,5.0160000455e-06,0.0000000000e+00,1.1693864990e+00,0.0000000000e+00,-6.4329440141e+01,-5.0375278892e+05,8.2450187305e+04,3.0832215424e-18,2.3700861238e+04,5.5393007103e-01,2.6174000038e-02,2.7500000000e+00
1,1,18,18,0.0000000000e+00,1.0234013804e+05,8.7541590790e+04,4.1494231057e+04,5.5216347710e+04,7.1723143731e+05,7.2330518600e+07,2.0000000000e+30,6.3817974845e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.1951230148e+02,7.9094185830e+00,2.8757553800e-01,2.2483756660e+00,2.5281274330e+00,5.5039999438e-06,0.0000000000e+00,1.1617659760e+00,0.0000000000e+00,-3.1020002968e+01,-5.0377536015e+05,8.2476254282e+04,9.5723074963e-18,2.3784527330e+04,5.5409444306e-01,2.6406188109e-02,2.7500000000e+00
1,1,19,19,0.0000000000e+00,9.3848929660e+04,8.9127151646e+04,4.1556621904e+04,5.4975023420e+04,7.5087445203e+05,7.2566576024e+07,2.0000000000e+30,6.3883662706e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.2730710630e+02,7.7939533730e+00,2.8425013900e-01,2.2109424270e+00,2.3994704740e+00,4.2929999609e-06,0.0000000000e+00,1.1681817100e+00,0.0000000000e+00,1.2943752270e+00,-5.0379092093e+05,8.2493334768e+04,1.1287547349e-17,2.4002356785e+04,5.5419876397e-01,2.6628791379e-02,2.7500000000e+00
1,1,20,20,0.0000000000e+00,9.0888176833e+04,9.0773983293e+04,4.1497690288e+04,5.4685031359e+04,7.7881786998e+05,7.2780591722e+07,2.0000000000e+30,6.3946657199e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.3508473970e+02,7.7767614420e+00,2.8628879500e-01,2.2028630360e+00,2.3769016500e+00,4.3510000296e-06,0.0000000000e+00,1.1736009420e+00,0.0000000000e+00,3.3209426853e+01,-5.0379931836e+05,8.2505673209e+04,1.0937087874e-17,2.4087999237e+04,5.5427135616e-01,2.6847181702e-02,2.7500000000e+00
1,1,21,21,0.0000000000e+00,9.2956126692e+04,9.2422214872e+04,4.1300417094e+04,5.4309797874e+04,8.0046608462e+05,7.2949334859e+07,2.0000000000e+30,6.4002049675e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.4295007493e+02,7.8644724290e+00,2.8203575300e-01,2.2198749880e+00,2.4526529480e+00,3.9009999568e-06,0.0000000000e+00,1.1743320620e+00,0.0000000000e+00,6.4450987306e+01,-5.0379945631e+05,8.2517210225e+04,1.0196799911e-17,2.4300041224e+04,5.5433878163e-01,2.7060788822e-02,2.7500000000e+00
1,1,22,22,0.0000000000e+00,9.9085379801e+04,9.3989816511e+04,4.0959794617e+04,5.3838560507e+04,8.1525439443e+05,7.3092371514e+07,2.0000000000e+30,6.4046136188e-05,2.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.5085329885e+02,7.9023352360e+00,2.8382394400e-01,2.2127531010e+00,2.4683469380e+00,4.1529999635e-06,0.0000000000e+00,1.1672565610e+00,0.0000000000e+00,9.4190402729e+01,-5.0379006378e+05,8.2531723647e+04,1.2399614385e-17,2.4382478642e+04,5.5442668765e-01,2.7265264837e-02,2.7500000000e+00
